diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
source_mat_id error,ws,source_mat_id,100,EMOBON_BPNS_Wa_100,,source_mat_id should match ^EMOBON_BPNS_Wa_220322_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,101,EMOBON_BPNS_Wa_101,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,102,EMOBON_BPNS_Wa_102,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,103,EMOBON_BPNS_Wa_103,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,104,EMOBON_BPNS_Wa_104,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,105,EMOBON_BPNS_Wa_105,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,106,EMOBON_BPNS_Wa_106,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,107,EMOBON_BPNS_Wa_107,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,108,EMOBON_BPNS_Wa_108,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,109,EMOBON_BPNS_Wa_109,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,110,EMOBON_BPNS_Wa_110,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,111,EMOBON_BPNS_Wa_111,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
